Code	Description
0	BIOS Information
1	System Information
2	Mainboard Information
3	Enclosure/Chasis Information
4	Processor Information
7	Cache Information
9	System Slots Information
16	Physical Memory Array
17	Memory Device Information
19	Memory Array Mapped Address
20	Memory Device Mapped Address (optional as of SMBIOS 2.5)
32	System Boot Information

